car_name,price,year,engine,mileage,valyuta,exchange_rate
Hyundai Sonata,20000,2010,2.4,155000,AZN,1.00
Hyundai Sonata,15500,2015,2.4,70500,$,1.70
Hyundai Sonata,19800,2012,2.4,57480,AZN,1.00
Hyundai Sonata,18800,2008,2.0,147000,AZN,1.00
Hyundai Sonata,19000,2008,2.4,128000,AZN,1.00
Hyundai Sonata,18600,2008,2.4,180000,AZN,1.00
Hyundai Sonata,10800,2000,2.6,250000,AZN,1.00
Hyundai Sonata,10800,2007,2.4,217000,AZN,1.00
Hyundai Sonata,18200,2001,1.5,358698,AZN,1.00
Hyundai Sonata,14500,2014,1.6,84500,$,1.70
Hyundai Sonata,17000,2008,2.4,130000,AZN,1.00
Hyundai Sonata,5500,2004,1.6,590000,AZN,1.00
Hyundai Sonata,24500,2014,2.0,84000,$,1.70
Hyundai Sonata,17700,2006,5.0,192000,$,1.70
Hyundai Sonata,12500,2007,2.0,191250,AZN,1.00
Hyundai Sonata,12500,2007,2.0,191250,AZN,1.00
Hyundai Sonata,29600,2015,2.4,66000,AZN,1.00
Hyundai Sonata,28000,2014,2.4,42000,AZN,1.00
Hyundai Sonata,13800,2007,2.4,167000,AZN,1.00
Hyundai Sonata,27200,2015,2.0,52000,AZN,1.00
Hyundai Sonata,19400,2015,2.4,18500,$,1.70
Hyundai Sonata,18400,2013,2.0,40000,AZN,1.00
Hyundai Sonata,18400,2009,2.4,191000,AZN,1.00
Hyundai Sonata,24800,2014,2.4,57000,AZN,1.00
Hyundai Sonata,16700,2008,2.0,142370,AZN,1.00
Hyundai Sonata,16300,2008,2.0,168000,AZN,1.00
Hyundai Sonata,21700,2012,2.0,130000,AZN,1.00
Hyundai Sonata,22900,2010,2.4,154000,AZN,1.00
Hyundai Sonata,22900,2010,2.4,154000,AZN,1.00
Hyundai Sonata,23800,1983,1.6,490000,AZN,1.00
Hyundai Sonata,19500,2008,2.4,137000,AZN,1.00
Hyundai Sonata,13600,1998,2.2,336848,AZN,1.00
Hyundai Sonata,19500,2008,2.4,137000,AZN,1.00
Hyundai Sonata,25000,2015,2.4,44000,AZN,1.00
Hyundai Sonata,17200,2006,3.6,145000,AZN,1.00
Hyundai Sonata,9300,2003,2.0,205000,AZN,1.00
Hyundai Sonata,23500,2010,2.0,28000,AZN,1.00
Hyundai Sonata,7600,2002,2.0,230000,AZN,1.00
Hyundai Sonata,19800,2011,2.0,133000,AZN,1.00
Hyundai Sonata,23700,2009,2.0,102000,AZN,1.00
Hyundai Sonata,18900,2010,2.4,134000,AZN,1.00
Hyundai Sonata,18900,2011,2.0,85000,AZN,1.00
Hyundai Sonata,21300,2011,2.4,114605,AZN,1.00
Hyundai Sonata,21300,2011,2.4,114605,AZN,1.00
Hyundai Sonata,21500,2010,2.4,157800,AZN,1.00
Hyundai Sonata,12900,2005,2.4,250000,AZN,1.00
Hyundai Sonata,12900,2005,2.4,250000,AZN,1.00
Hyundai Sonata,15900,2008,3.3,214000,AZN,1.00
Hyundai Sonata,18900,2010,2.4,134000,AZN,1.00
Hyundai Sonata,22500,2010,2.4,211972,AZN,1.00
Hyundai Sonata,27200,2015,2.0,52000,AZN,1.00
Hyundai Sonata,21200,2010,2.4,94000,AZN,1.00
Hyundai Sonata,21800,2015,2.4,63000,$,1.70
Hyundai Sonata,26500,2015,2.4,35000,AZN,1.00
Hyundai Sonata,55900,2019,2.0,0,$,1.70
Hyundai Sonata,16600,2008,2.4,156000,AZN,1.00
Hyundai Sonata,21600,2011,2.4,145000,AZN,1.00
Hyundai Sonata,8500,1996,2.0,350000,AZN,1.00
Hyundai Sonata,18500,2009,2.0,115000,AZN,1.00
Hyundai Sonata,19500,2008,2.0,132000,AZN,1.00
Hyundai Sonata,15000,2008,1.9,188000,AZN,1.00
Hyundai Sonata,26900,2014,2.4,42626,AZN,1.00
Hyundai Sonata,19500,2015,2.0,38500,$,1.70
Hyundai Sonata,15200,2003,2.2,169800,AZN,1.00
Hyundai Sonata,21000,2011,2.0,115000,AZN,1.00
Hyundai Sonata,19400,2011,2.0,115600,AZN,1.00
Hyundai Sonata,13000,2007,2.4,151000,AZN,1.00
Hyundai Sonata,21500,2013,2.4,65000,AZN,1.00
Hyundai Sonata,24900,2015,2.4,53450,AZN,1.00
Hyundai Sonata,14800,2007,2.4,256000,AZN,1.00
Hyundai Sonata,23200,2013,2.0,78000,AZN,1.00
Hyundai Sonata,21500,2010,2.4,121950,AZN,1.00
Hyundai Sonata,7500,2010,2.5,150000,AZN,1.00
Hyundai Sonata,20500,2015,2.0,26000,$,1.70
Hyundai Sonata,22850,2014,2.4,75000,AZN,1.00
Hyundai Sonata,7500,2001,2.4,230000,AZN,1.00
Hyundai Sonata,22500,2013,2.0,110000,AZN,1.00
Hyundai Sonata,19700,2015,2.0,44000,$,1.70
Hyundai Sonata,22400,2012,2.0,75000,AZN,1.00
Hyundai Sonata,12300,2009,1.3,210433,AZN,1.00
Hyundai Sonata,22600,2013,2.0,70832,AZN,1.00
Hyundai Sonata,18200,2010,2.4,176000,AZN,1.00
Hyundai Sonata,19700,2009,2.4,241000,AZN,1.00
Hyundai Sonata,3300,1995,2.0,274580,AZN,1.00
Hyundai Sonata,23800,2010,2.4,133000,AZN,1.00
Hyundai Sonata,13500,2007,2.4,175000,AZN,1.00
Hyundai Sonata,31800,2016,2.0,32100,AZN,1.00
Hyundai Sonata,19200,2010,2.4,94877,AZN,1.00
Hyundai Sonata,19200,2008,2.4,75000,AZN,1.00
Hyundai Sonata,12000,2007,2.4,299950,AZN,1.00
Hyundai Sonata,18800,2015,2.0,36000,$,1.70
Hyundai Sonata,6500,2000,2.0,314000,AZN,1.00
Hyundai Sonata,3800,1997,2.0,256000,AZN,1.00
