car_name,price,year,engine,mileage,valyuta,exchange_rate
Opel Astra,7000,1998,1.6,387193,AZN,1.00
Opel Astra,14200,2009,1.4,290000,AZN,1.00
Opel Astra,12700,2008,1.4,147700,AZN,1.00
Opel Astra,14200,2009,1.4,290000,AZN,1.00
Opel Astra,12300,2006,1.4,236200,AZN,1.00
Opel Astra,12300,2006,1.4,236200,AZN,1.00
Opel Astra,10400,2008,1.3,219000,AZN,1.00
Opel Astra,10400,2008,1.3,219000,AZN,1.00
Opel Astra,21700,2010,2.4,158000,AZN,1.00
Opel Astra,8200,1999,1.6,232000,AZN,1.00
Opel Astra,8000,2000,1.6,337000,AZN,1.00
Opel Astra,11200,2006,1.3,148500,AZN,1.00
Opel Astra,11200,2006,1.3,148500,AZN,1.00
Opel Astra,7800,1998,1.6,290785,AZN,1.00
Opel Astra,6400,1999,1.6,590000,AZN,1.00
Opel Astra,9000,2005,1.5,228642,AZN,1.00
Opel Astra,7500,1999,1.6,286523,AZN,1.00
Opel Astra,5000,1996,1.6,339000,AZN,1.00
Opel Astra,9000,1999,2.0,298000,AZN,1.00
Opel Astra,5200,1997,1.6,290000,AZN,1.00
Opel Astra,14000,2010,1.4,156000,AZN,1.00
Opel Astra,8300,1998,1.6,315000,AZN,1.00
Opel Astra,9000,1998,1.6,315000,AZN,1.00
Opel Astra,5500,1997,1.6,365000,AZN,1.00
Opel Astra,10800,2006,1.4,180000,AZN,1.00
Opel Astra,3500,1997,1.8,220000,AZN,1.00
Opel Astra,8300,2000,1.6,280000,AZN,1.00
Opel Astra,8700,1998,1.6,298111,AZN,1.00
Opel Astra,8700,1998,1.6,298111,AZN,1.00
Opel Astra,12300,2005,1.3,202000,AZN,1.00
Opel Astra,3650,1993,1.7,285411,AZN,1.00
Opel Astra,3650,1993,1.7,285411,AZN,1.00
Opel Astra,8900,1998,1.6,245652,AZN,1.00
Opel Astra,8900,2008,1.4,147700,AZN,1.00
Opel Astra,3800,1996,1.6,254632,AZN,1.00
Opel Astra,12700,2008,1.4,147700,AZN,1.00
Opel Astra,8700,1999,1.6,314250,AZN,1.00
Opel Astra,7450,1999,1.8,226000,AZN,1.00
Opel Astra,10000,2001,1.8,180000,AZN,1.00
Opel Astra,10000,2001,1.8,180000,AZN,1.00
Opel Astra,9700,1997,2.3,208000,AZN,1.00
Opel Astra,8300,2000,1.6,350000,AZN,1.00
Opel Astra,9300,2008,1.7,165965,AZN,1.00
Opel Astra,11200,2006,1.3,222040,AZN,1.00
Opel Astra,10300,2008,1.7,345000,AZN,1.00
Opel Astra,135000,2013,6.0,42000,$,1.70
Opel Astra,12900,2007,1.7,268000,AZN,1.00
Opel Astra,12900,2017,1.5,1850,AZN,1.00
Opel Astra,8700,1999,1.8,320000,AZN,1.00
Opel Astra,8700,1999,1.8,320000,AZN,1.00
Opel Astra,11800,2006,1.4,160000,AZN,1.00
Opel Astra,8300,1986,2.3,122112,AZN,1.00
Opel Astra,4500,1994,1.4,276000,AZN,1.00
Opel Astra,11600,2007,1.4,200100,AZN,1.00
Opel Astra,7800,1998,1.6,330000,AZN,1.00
Opel Astra,7800,1998,1.6,330000,AZN,1.00
Opel Astra,9900,2008,1.4,205000,AZN,1.00
Opel Astra,13500,2008,1.9,177000,AZN,1.00
Opel Astra,10400,2008,1.4,118000,AZN,1.00
Opel Astra,8900,1999,1.6,270000,AZN,1.00
Opel Astra,9500,1999,1.6,175000,AZN,1.00
Opel Astra,11900,2006,1.3,194500,AZN,1.00
Opel Astra,8000,1999,1.6,333000,AZN,1.00
Opel Astra,6200,1997,1.6,421600,AZN,1.00
Opel Astra,11750,2007,1.3,174000,AZN,1.00
Opel Astra,10800,2006,1.3,155000,AZN,1.00
Opel Astra,4000,1997,1.5,322440,AZN,1.00
Opel Astra,7900,1999,1.6,254000,AZN,1.00
Opel Astra,69900,2018,4.0,0,$,1.70
Opel Astra,8900,1999,1.8,258000,AZN,1.00
Opel Astra,5700,1995,1.6,310655,AZN,1.00
Opel Astra,10000,2002,1.6,295000,AZN,1.00
Opel Astra,15300,2010,1.6,188000,AZN,1.00
Opel Astra,5300,1997,1.6,361000,AZN,1.00
Opel Astra,12499,2008,1.3,238000,AZN,1.00
Opel Astra,13500,2007,1.8,83600,AZN,1.00
Opel Astra,13500,2006,1.8,285000,AZN,1.00
Opel Astra,9000,2002,1.8,299000,AZN,1.00
Opel Astra,11850,2005,1.5,263000,AZN,1.00
Opel Astra,8700,1995,2.2,400000,AZN,1.00
Opel Astra,13500,2008,1.8,103000,AZN,1.00
Opel Astra,8700,1998,1.6,277000,AZN,1.00
Opel Astra,8300,1998,1.8,271000,AZN,1.00
Opel Astra,6300,1997,1.8,170000,AZN,1.00
Opel Astra,9500,1999,1.6,187000,AZN,1.00
Opel Astra,7600,1998,1.6,272210,AZN,1.00
Opel Astra,13800,2009,1.4,170000,AZN,1.00
Opel Astra,8500,1999,1.6,322758,AZN,1.00
Opel Astra,12600,2008,1.3,280000,AZN,1.00
Opel Astra,5400,1998,1.6,317997,AZN,1.00
